name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Mac Danzig,21,12,172.72,70.31,177.8,Orthodox,45,3.39,0.48,3.44,0.57,1.2,0.37,0.46,0.6
David Bielkheden,24,12,177.8,70.31,180.34,Orthodox,45,1.11,0.57,1.64,0.54,2.65,0.63,0.14,0.0
Elvis Sinosic,7,11,190.5,92.99,195.58,Orthodox,54,1.13,0.37,4.6,0.53,0.0,0.0,0.0,1.2
Bolaji Oki,9,2,177.8,70.31,185.42,Orthodox,29,5.63,0.45,2.58,0.63,2.11,0.75,0.85,0.0
Sijara Eubanks,8,7,162.56,56.7,170.18,Orthodox,39,4.3,0.43,3.43,0.57,1.9,0.44,0.66,0.3
Milton Vieira,13,8,182.88,65.77,None,Orthodox,46,1.13,0.35,2.36,0.48,2.67,0.53,0.12,0.7
Heath Herring,28,16,193.04,113.4,198.12,Orthodox,47,2.37,0.5,1.77,0.54,1.22,0.5,0.32,0.7
Tomasz Drwal,21,5,185.42,92.99,193.04,Orthodox,43,3.29,0.38,2.26,0.57,3.55,0.6,0.82,0.4
Daniel Zellhuber,15,2,185.42,70.31,195.58,Switch,25,6.26,0.4,6.02,0.55,0.18,0.25,0.94,0.2
Matt Horwich,30,25,185.42,83.91,None,Orthodox,46,1.11,0.62,2.16,0.38,0.33,0.09,0.28,2.7
Jeff Joslin,5,3,182.88,77.11,None,Orthodox,49,2.17,0.39,1.57,0.65,0.5,0.33,0.64,0.5
Paige VanZant,8,5,162.56,52.16,165.1,Orthodox,31,3.35,0.52,2.62,0.42,1.27,0.33,0.34,1.0
